,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
27,2023-02-02,21:00,Coppa Italia,Quarter-finals,Thu,Home,Lazio,3-5-2,1.0,0.0,W,1.0,12.0,5.0,41.7,0.08,0.2,,0.0,0.0,Juventus,2022
28,2023-02-07,20:45,Serie A,Matchweek 21,Tue,Away,Salernitana,3-5-2,3.0,0.0,W,3.0,16.0,4.0,25.0,0.13,0.5,18.9,1.0,1.0,Juventus,2022
29,2023-02-12,18:00,Serie A,Matchweek 22,Sun,Home,Fiorentina,3-4-3,1.0,0.0,W,1.0,7.0,3.0,42.9,0.14,0.33,12.7,0.0,0.0,Juventus,2022
30,2023-02-16,21:00,Europa Lg,Knockout round play-offs,Thu,Home,fr Nantes,4-3-3,1.0,1.0,D,1.0,14.0,6.0,42.9,0.07,0.17,19.1,0.0,0.0,Juventus,2022
31,2023-02-19,18:00,Serie A,Matchweek 23,Sun,Away,Spezia,3-1-4-2,2.0,0.0,W,2.0,15.0,3.0,20.0,0.13,0.67,18.8,0.0,0.0,Juventus,2022
32,2023-02-23,18:45,Europa Lg,Knockout round play-offs,Thu,Away,fr Nantes,3-5-1-1,3.0,0.0,W,3.0,18.0,10.0,55.6,0.11,0.2,13.8,1.0,1.0,Juventus,2022
33,2023-02-28,20:45,Serie A,Matchweek 24,Tue,Home,Torino,3-5-1-1,4.0,2.0,W,4.0,13.0,6.0,46.2,0.31,0.67,15.2,0.0,0.0,Juventus,2022
34,2023-03-05,20:45,Serie A,Matchweek 25,Sun,Away,Roma,3-5-1-1,0.0,1.0,L,0.0,14.0,5.0,35.7,0.0,0.0,21.7,0.0,0.0,Juventus,2022
35,2023-03-09,21:00,Europa Lg,Round of 16,Thu,Home,de Freiburg,3-5-1-1,1.0,0.0,W,1.0,20.0,6.0,30.0,0.05,0.17,18.5,0.0,0.0,Juventus,2022
36,2023-03-12,20:45,Serie A,Matchweek 26,Sun,Home,Sampdoria,3-5-1-1,4.0,2.0,W,4.0,23.0,8.0,34.8,0.17,0.5,17.9,0.0,1.0,Juventus,2022
37,2023-03-16,18:45,Europa Lg,Round of 16,Thu,Away,de Freiburg,3-5-2,2.0,0.0,W,2.0,14.0,7.0,50.0,0.07,0.14,20.1,1.0,1.0,Juventus,2022
38,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Away,Inter,3-5-1-1,1.0,0.0,W,1.0,7.0,3.0,42.9,0.14,0.33,19.6,0.0,0.0,Juventus,2022
39,2023-04-01,20:45,Serie A,Matchweek 28,Sat,Home,Hellas Verona,3-5-2,1.0,0.0,W,1.0,10.0,2.0,20.0,0.1,0.5,19.7,0.0,0.0,Juventus,2022
40,2023-04-04,21:00,Coppa Italia,Semi-finals,Tue,Home,Inter,3-5-1-1,1.0,1.0,D,1.0,10.0,3.0,30.0,0.1,0.33,,0.0,0.0,Juventus,2022
41,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Away,Lazio,3-5-1-1,1.0,2.0,L,1.0,11.0,4.0,36.4,0.09,0.25,10.5,0.0,0.0,Juventus,2022
