,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
13,2022-10-11,21:00,Champions Lg,Group stage,Tue,Home,es Sevilla,4-2-3-1,1.0,1.0,D,1.0,7.0,3.0,42.9,0.14,0.33,20.8,0.0,0.0,Dortmund,2022
14,2022-10-16,17:30,Bundesliga,Matchweek 10,Sun,Away,Union Berlin,3-5-2,0.0,2.0,L,0.0,14.0,6.0,42.9,0.0,0.0,18.3,0.0,0.0,Dortmund,2022
15,2022-10-19,18:00,DFB-Pokal,Round of 32,Wed,Away,Hannover 96,4-2-3-1,2.0,0.0,W,1.0,18.0,6.0,33.3,0.0,0.0,,1.0,1.0,Dortmund,2022
16,2022-10-22,15:30,Bundesliga,Matchweek 11,Sat,Home,Stuttgart,4-2-3-1,5.0,0.0,W,5.0,18.0,10.0,55.6,0.28,0.5,17.2,0.0,0.0,Dortmund,2022
17,2022-10-25,21:00,Champions Lg,Group stage,Tue,Home,eng Manchester City,4-5-1,0.0,0.0,D,0.0,11.0,4.0,36.4,0.0,0.0,20.2,0.0,0.0,Dortmund,2022
18,2022-10-29,18:30,Bundesliga,Matchweek 12,Sat,Away,Eint Frankfurt,4-2-3-1,2.0,1.0,W,2.0,7.0,2.0,28.6,0.29,1.0,21.1,0.0,0.0,Dortmund,2022
19,2022-11-02,21:00,Champions Lg,Group stage,Wed,Away,dk FC Copenhagen,4-2-3-1,1.0,1.0,D,1.0,13.0,1.0,7.7,0.08,1.0,19.7,0.0,0.0,Dortmund,2022
20,2022-11-05,15:30,Bundesliga,Matchweek 13,Sat,Home,Bochum,4-2-3-1,3.0,0.0,W,3.0,5.0,2.0,40.0,0.4,1.0,25.7,1.0,1.0,Dortmund,2022
21,2022-11-08,18:30,Bundesliga,Matchweek 14,Tue,Away,Wolfsburg,4-2-3-1,0.0,2.0,L,0.0,21.0,6.0,28.6,0.0,0.0,16.9,0.0,0.0,Dortmund,2022
22,2022-11-11,20:30,Bundesliga,Matchweek 15,Fri,Away,M'Gladbach,4-2-3-1,2.0,4.0,L,2.0,20.0,10.0,50.0,0.1,0.2,13.5,0.0,0.0,Dortmund,2022
23,2023-01-22,15:30,Bundesliga,Matchweek 16,Sun,Home,Augsburg,4-2-3-1,4.0,3.0,W,4.0,27.0,9.0,33.3,0.15,0.44,16.0,0.0,0.0,Dortmund,2022
24,2023-01-25,18:30,Bundesliga,Matchweek 17,Wed,Away,Mainz 05,4-2-3-1,2.0,1.0,W,2.0,11.0,6.0,54.5,0.18,0.33,18.2,0.0,0.0,Dortmund,2022
25,2023-01-29,17:30,Bundesliga,Matchweek 18,Sun,Away,Leverkusen,4-5-1,2.0,0.0,W,1.0,6.0,2.0,33.3,0.17,0.5,20.4,0.0,0.0,Dortmund,2022
26,2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Home,Freiburg,4-1-4-1,5.0,1.0,W,5.0,26.0,10.0,38.5,0.19,0.5,19.1,0.0,0.0,Dortmund,2022
27,2023-02-08,20:45,DFB-Pokal,Round of 16,Wed,Away,Bochum,4-1-4-1,2.0,1.0,W,2.0,18.0,8.0,44.4,0.11,0.25,,0.0,0.0,Dortmund,2022
28,2023-02-11,15:30,Bundesliga,Matchweek 20,Sat,Away,Werder Bremen,4-1-4-1,2.0,0.0,W,2.0,18.0,9.0,50.0,0.11,0.22,15.9,0.0,0.0,Dortmund,2022
29,2023-02-15,21:00,Champions Lg,Round of 16,Wed,Home,eng Chelsea,4-1-4-1,1.0,0.0,W,1.0,14.0,2.0,14.3,0.07,0.5,20.0,0.0,0.0,Dortmund,2022
30,2023-02-19,17:30,Bundesliga,Matchweek 21,Sun,Home,Hertha BSC,4-5-1,4.0,1.0,W,4.0,12.0,5.0,41.7,0.33,0.8,16.0,0.0,0.0,Dortmund,2022
31,2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Away,Hoffenheim,4-3-3,1.0,0.0,W,1.0,25.0,11.0,44.0,0.04,0.09,15.0,0.0,0.0,Dortmund,2022
32,2023-03-03,20:30,Bundesliga,Matchweek 23,Fri,Home,RB Leipzig,4-1-4-1,2.0,1.0,W,2.0,7.0,2.0,28.6,0.14,0.5,21.5,1.0,1.0,Dortmund,2022
33,2023-03-07,20:00,Champions Lg,Round of 16,Tue,Away,eng Chelsea,4-1-4-1,0.0,2.0,L,0.0,13.0,4.0,30.8,0.0,0.0,19.2,0.0,0.0,Dortmund,2022
34,2023-03-11,18:30,Bundesliga,Matchweek 24,Sat,Away,Schalke 04,4-3-3,2.0,2.0,D,2.0,20.0,8.0,40.0,0.1,0.25,18.0,0.0,0.0,Dortmund,2022
35,2023-03-18,18:30,Bundesliga,Matchweek 25,Sat,Home,Köln,4-3-3,6.0,1.0,W,6.0,12.0,8.0,66.7,0.5,0.75,12.4,0.0,0.0,Dortmund,2022
36,2023-04-01,18:30,Bundesliga,Matchweek 26,Sat,Away,Bayern Munich,4-5-1,2.0,4.0,L,2.0,9.0,3.0,33.3,0.11,0.33,17.2,1.0,1.0,Dortmund,2022
37,2023-04-05,20:45,DFB-Pokal,Quarter-finals,Wed,Away,RB Leipzig,4-3-3,0.0,2.0,L,0.0,2.0,1.0,50.0,0.0,0.0,,0.0,0.0,Dortmund,2022
38,2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Home,Union Berlin,4-3-3,2.0,1.0,W,2.0,15.0,6.0,40.0,0.13,0.33,15.4,0.0,0.0,Dortmund,2022
39,2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Away,Stuttgart,4-1-4-1,3.0,3.0,D,3.0,15.0,6.0,40.0,0.2,0.5,16.0,0.0,0.0,Dortmund,2022
40,2023-04-22,18:30,Bundesliga,Matchweek 29,Sat,Home,Eint Frankfurt,4-3-3,4.0,0.0,W,4.0,14.0,7.0,50.0,0.29,0.57,16.9,0.0,0.0,Dortmund,2022
41,2023-04-28,20:30,Bundesliga,Matchweek 30,Fri,Away,Bochum,4-3-3,1.0,1.0,D,1.0,22.0,7.0,31.8,0.05,0.14,14.1,0.0,0.0,Dortmund,2022
42,2023-05-07,17:30,Bundesliga,Matchweek 31,Sun,Home,Wolfsburg,4-3-3,6.0,0.0,W,6.0,19.0,10.0,52.6,0.32,0.6,18.4,0.0,1.0,Dortmund,2022
43,2023-05-13,18:30,Bundesliga,Matchweek 32,Sat,Home,M'Gladbach,4-2-3-1,5.0,2.0,W,5.0,33.0,11.0,33.3,0.12,0.36,18.5,1.0,1.0,Dortmund,2022
44,2023-05-21,17:30,Bundesliga,Matchweek 33,Sun,Away,Augsburg,,,,,,,,,,,,,,Dortmund,2022
45,2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,Mainz 05,,,,,,,,,,,,,,Dortmund,2022
0,2022-07-30,20:30,DFL-Supercup,DFL-Supercup,Sat,Home,Bayern Munich,3-4-3,3.0,5.0,L,3.0,9.0,4.0,44.4,0.22,0.5,,1.0,1.0,RB-Leipzig,2022
1,2022-08-07,15:30,Bundesliga,Matchweek 1,Sun,Away,Stuttgart,3-4-1-2,1.0,1.0,D,1.0,28.0,9.0,32.1,0.04,0.11,19.4,0.0,0.0,RB-Leipzig,2022
2,2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Home,Köln,3-1-4-2,2.0,2.0,D,2.0,9.0,5.0,55.6,0.22,0.4,19.2,0.0,0.0,RB-Leipzig,2022
3,2022-08-20,18:30,Bundesliga,Matchweek 3,Sat,Away,Union Berlin,3-1-4-2,1.0,2.0,L,1.0,16.0,1.0,6.3,0.06,1.0,18.6,0.0,0.0,RB-Leipzig,2022
4,2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Home,Wolfsburg,3-4-1-2,2.0,0.0,W,2.0,15.0,6.0,40.0,0.07,0.17,15.1,1.0,1.0,RB-Leipzig,2022
5,2022-08-30,20:46,DFB-Pokal,Round of 64,Tue,Away,FC Teutonia Ottensen,3-5-2,8.0,0.0,W,8.0,41.0,19.0,46.3,0.2,0.42,,0.0,0.0,RB-Leipzig,2022
6,2022-09-03,18:30,Bundesliga,Matchweek 5,Sat,Away,Eint Frankfurt,3-4-1-2,0.0,4.0,L,0.0,4.0,0.0,0.0,0.0,,12.2,0.0,0.0,RB-Leipzig,2022
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Home,ua Shakhtar,4-2-3-1,1.0,4.0,L,1.0,13.0,2.0,15.4,0.08,0.5,16.6,0.0,0.0,RB-Leipzig,2022
8,2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,Dortmund,4-2-3-1,3.0,0.0,W,3.0,15.0,5.0,33.3,0.2,0.6,15.3,0.0,0.0,RB-Leipzig,2022
9,2022-09-14,21:00,Champions Lg,Group stage,Wed,Away,es Real Madrid,4-2-3-1,0.0,2.0,L,0.0,9.0,3.0,33.3,0.0,0.0,20.3,0.0,0.0,RB-Leipzig,2022
10,2022-09-17,18:30,Bundesliga,Matchweek 7,Sat,Away,M'Gladbach,4-2-3-1,0.0,3.0,L,0.0,12.0,5.0,41.7,0.0,0.0,14.8,0.0,0.0,RB-Leipzig,2022
11,2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Home,Bochum,4-2-3-1,4.0,0.0,W,4.0,15.0,8.0,53.3,0.2,0.38,17.7,1.0,2.0,RB-Leipzig,2022
